SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10
4.48E-05,1.79E-05,0,0,6.90E-06,0,2.28E-05,3.02E-05,5.15E-06,8.84E-05
2.63E-05,1.98E-06,0.000109247,1.44E-05,6.72E-05,0,5.59E-06,0.020937666,0.004031319,0.027512731
0,2.40E-05,0,0,9.37E-06,0,0.010032224,0.005549938,0.002597835,0.000121304
0,0,0,0,1.09E-05,7.62E-06,4.81E-06,0.041530447,0.020203574,0
0,0,9.23E-05,1.13E-05,0.000582561,0,0.011905113,0.016117168,0.000859703,0.00059147
0,0,7.75E-06,2.87E-05,0.002746616,0.005133611,2.32E-06,2.90E-05,2.07E-06,0.000196372
0.00061659,0.000405554,0.008438006,0.000831204,0,6.63E-05,0,0.001712457,0.002008838,2.24E-05
1.48E-05,1.54E-05,0.00058775,0,0.000238203,0,0.007773353,0.004028982,0.000410182,0.001043325
0.000215226,8.57E-05,0.003508454,6.21E-05,5.70E-06,0,0.015783149,0.010332939,0.002102159,0.006820075
6.39E-06,0.000390456,0.001328432,0.002240953,0,0,0.002250752,0.007411994,0.001236001,0.000233759
2.48E-05,5.78E-05,0.00026357,0,0.002609855,0,0.026263382,0.000628656,0.000269396,0.004826264
0,0,0,0,1.27E-05,0,0,0.017792682,0.003950795,0.000678552
0,0,1.13E-05,0,0.001350836,0,0,0.023157065,0.027278901,0.001264126
0,0,0,2.60E-06,2.84E-05,0,0,0.000577679,5.77E-05,7.68E-06
0,0,0,4.59E-05,0,0,0,4.39E-05,0.00070435,0
0,0,0,0,0.001516084,9.70E-05,0,2.51E-05,7.99E-05,0.000528402
0,0,0,0,0,0,0,0.009767858,0.000334556,0.000790362
0,0,1.14E-05,0,3.07E-05,0,0,0.009480321,0.001191173,0.000675923
0,0,1.26E-05,0,1.61E-05,0,0,0.009962593,0.002918984,0.000254014
0,0,1.40E-05,0,0.004154779,0,0,0.03297698,0.004468795,0.003125902
0,0,0.000298581,0,0.000604073,3.80E-05,1.53E-05,0.028414607,0.013218682,0.001553726
0.000180961,0.000176839,0.000901273,1.05E-05,4.76E-06,0,0.000974062,0.003042517,0.00030991,1.65E-05
0.000436511,9.13E-05,0,0,0.000582223,0,0,0.003346176,0.001188597,0.002663735
0,0,8.14E-06,6.28E-05,3.56E-05,6.65E-06,4.29E-05,0.00990703,0.002375885,0.000127833
0.000961517,0.00094147,0.004714314,0.004423036,8.01E-05,0,0.002793081,0.00071803,0.000207637,0.003030259
0,7.21E-06,3.44E-05,0,0,0,0,0.051193102,0.019444737,1.11E-05
0.000292183,1.40E-05,0.00050285,0.002647373,0,6.68E-06,0.009490063,0.009312439,0.004221438,0.001289291
0,4.85E-06,3.49E-05,0,0,0,0,0.008135629,0.000427691,2.78E-05
0,0,1.27E-05,0,0,3.27E-06,0,0.01581559,0.001313856,0.000156177
9.10E-05,0,0.033490639,0,3.99E-05,0,0.012028196,0.000986371,0.000338078,0.000188485
1.12E-06,2.25E-06,0.000406916,0,8.09E-05,0,0.01322573,0.004676131,0.000326241,1.99E-05
0,0,0,0,0.001582286,0,0,0.000604765,0.00045549,0.000168663
0,6.76E-06,0.002045821,0,0.000141067,0,0,0.029582097,0.002780057,0.000122906
0,0,0,0,8.39E-06,0,0.003967929,0.004877098,0.001044094,0.000731639
0,0,0,0,1.89E-05,8.16E-06,0,0.001586101,0.000434666,5.91E-05
4.54E-05,6.12E-05,1.59E-05,0,3.32E-05,0.000126588,0,0.024314286,0.003507015,0.000251509
0,0,3.48E-05,0,0,0,0,0.023675936,0.032815381,0.003085222
