Microbe species,Relative Abundance
SP3,1.74E-05
SP3,1.06E-05
SP3,0
SP3,5.29E-06
SP3,5.47E-06
SP3,1.36E-05
SP3,4.94E-05
SP3,1.06E-05
SP3,0
SP3,0
SP3,1.20E-05
SP3,0
SP3,0
SP3,2.31E-05
SP3,1.00E-05
SP3,0
SP3,8.11E-06
SP3,1.68E-05
SP3,0
SP3,0
SP3,0
SP3,0
SP3,0
SP3,3.31E-06
SP3,0
SP3,0
SP3,0
SP3,0
SP3,3.77E-05
SP3,3.91E-05
SP3,0
SP3,9.32E-06
SP3,1.30E-05
SP3,0
SP3,1.09E-05
SP3,0
SP3,5.52E-05
SP3,0
SP3,0
SP3,5.85E-06
SP3,0
SP3,6.14E-06
SP3,0
SP3,0
SP3,0
SP3,7.87E-06
SP3,0
SP3,6.23E-06
SP3,0
SP3,0
SP3,1.49E-05
SP3,3.65E-05
SP3,2.57E-05
SP3,3.90E-05
SP3,0
SP3,2.18E-05
SP3,0
SP3,0
SP3,0
SP3,3.05E-06
SP3,2.08E-05
SP3,1.26E-05
SP3,6.63E-06
SP3,0
SP3,5.63E-06
SP3,1.29E-05
SP3,0
SP3,7.12E-06
SP3,0
SP3,2.23E-05
SP3,4.60E-05
SP3,1.17E-05
SP3,2.70E-05
SP3,0
SP3,0
SP3,0
SP3,0
SP3,0
SP3,1.76E-05
SP3,0
SP3,4.47E-06
SP3,0
SP3,0
SP3,0
SP3,1.81E-06
SP3,3.44E-05
SP3,3.15E-05
SP3,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,1.28E-06
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,5.20E-06
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,9.66E-06
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,2.41E-06
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,1.57E-05
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP10,0.000463147
SP10,0.000280748
SP10,0.000186945
SP10,0.003161427
SP10,0.009032617
SP10,5.11E-05
SP10,0.000345383
SP10,0.004868031
SP10,0.000187051
SP10,0.000474273
SP10,0.000754852
SP10,0.000442157
SP10,0.045710914
SP10,0.002668002
SP10,0.014951539
SP10,0.000994882
SP10,0.001689107
SP10,0.000230384
SP10,0.000256824
SP10,0.063507003
SP10,0.000998779
SP10,9.60E-05
SP10,0.000472628
SP10,0.000348179
SP10,0
SP10,7.09E-06
SP10,0.000542668
SP10,0.000234939
SP10,0.000179128
SP10,0.005347871
SP10,0.000340549
SP10,0.000347044
SP10,0.000359083
SP10,0.003682278
SP10,0.001794354
SP10,0.002465546
SP10,7.80E-05
SP10,0.002009073
SP10,0.001607232
SP10,0.001535837
SP10,9.66E-05
SP10,0.028252036
SP10,0.025060607
SP10,0.000147985
SP10,0.00033051
SP10,0.007086657
SP10,0.001415208
SP10,0.002622184
SP10,0.000113309
SP10,0.001867775
SP10,0.000420894
SP10,0.000816661
SP10,0.004603683
SP10,0.001165862
SP10,0.000337858
SP10,0.000249195
SP10,0.000214626
SP10,0.018550562
SP10,0.001889452
SP10,0.000504455
SP10,0.000648843
SP10,0.00148799
SP10,0.000909792
SP10,0.002885784
SP10,0.002641059
SP10,0.000212206
SP10,1.57E-05
SP10,0.000499996
SP10,0.003441235
SP10,0.001723865
SP10,0.00511027
SP10,0.061799939
SP10,0.000367211
SP10,0.000535027
SP10,0.000183488
SP10,0.001198638
SP10,0.000731909
SP10,0.002350019
SP10,0.001428354
SP10,0.000650622
SP10,0.00010282
SP10,0.00096756
SP10,0.00680469
SP10,0.00145435
SP10,0.001496833
SP10,0.001006078
SP10,0.07561035
SP10,0.000307434
SP5,0
SP5,0
SP5,0
SP5,0.000106932
SP5,3.05E-06
SP5,2.22E-06
SP5,9.85E-06
SP5,0
SP5,0.000341484
SP5,0.000104584
SP5,0.000203655
SP5,7.80E-07
SP5,0
SP5,7.44E-05
SP5,0
SP5,0
SP5,0.000112294
SP5,0
SP5,0.000338215
SP5,7.26E-05
SP5,0.000115813
SP5,0
SP5,2.65E-06
SP5,3.51E-05
SP5,0
SP5,0
SP5,0
SP5,7.68E-06
SP5,0
SP5,1.16E-05
SP5,0
SP5,0
SP5,1.88E-05
SP5,9.88E-06
SP5,0
SP5,4.07E-06
SP5,0
SP5,0
SP5,9.90E-05
SP5,0.000304913
SP5,1.86E-05
SP5,2.06E-05
SP5,0.000368589
SP5,5.30E-05
SP5,4.88E-06
SP5,1.77E-05
SP5,0
SP5,0.000425621
SP5,0
SP5,0
SP5,0.000190963
SP5,0
SP5,3.38E-06
SP5,5.65E-06
SP5,3.99E-05
SP5,0
SP5,1.56E-05
SP5,0
SP5,2.94E-06
SP5,0
SP5,0
SP5,4.06E-05
SP5,0
SP5,0.000140527
SP5,0
SP5,4.04E-06
SP5,4.16E-05
SP5,0
SP5,0
SP5,0.000111318
SP5,0.000776221
SP5,1.05E-05
SP5,0
SP5,0
SP5,2.57E-06
SP5,0
SP5,1.76E-06
SP5,0.001307167
SP5,0
SP5,0
SP5,4.41E-06
SP5,3.89E-05
SP5,0
SP5,2.97E-05
SP5,3.73E-06
SP5,4.91E-05
SP5,0
SP5,4.16E-06
SP9,0.007617209
SP9,0.005096172
SP9,0.002189268
SP9,0.010094169
SP9,0.013688243
SP9,0.001227291
SP9,0.005418447
SP9,0.003964534
SP9,0.013038457
SP9,0.000623776
SP9,0.004386851
SP9,0.000505474
SP9,0.005448879
SP9,0.010899849
SP9,0.006869903
SP9,0.001056361
SP9,2.76E-05
SP9,0.008608751
SP9,0.000434738
SP9,0.000820523
SP9,0.003353263
SP9,0.000541745
SP9,0.005607492
SP9,0.012859519
SP9,0.003687477
SP9,0.000475055
SP9,0.000617216
SP9,0.018715396
SP9,3.35E-06
SP9,0.011419333
SP9,0.000775824
SP9,0.001617565
SP9,0.001887442
SP9,0.007382345
SP9,0.002598792
SP9,0.010378313
SP9,7.10E-05
SP9,0.000548272
SP9,0.00834136
SP9,0.020622569
SP9,0.001473843
SP9,0.004092424
SP9,0.008880295
SP9,0.001051959
SP9,0.001570687
SP9,0.008982357
SP9,0.105351508
SP9,0.004397495
SP9,0.002625643
SP9,0.006016071
SP9,0.014321145
SP9,0.000500641
SP9,0.00130621
SP9,0.002027679
SP9,0.003279819
SP9,0.024106385
SP9,0.005619343
SP9,0.002771608
SP9,0.004583586
SP9,0.002977206
SP9,0.005111354
SP9,0.0020911
SP9,0.004220916
SP9,0.011421949
SP9,0.010065846
SP9,2.79E-05
SP9,0.001044997
SP9,0.000475412
SP9,0.017710484
SP9,0.000688094
SP9,0.008549183
SP9,0.007294956
SP9,0.00237007
SP9,0.001201031
SP9,0.005215729
SP9,0.014235336
SP9,0.002440075
SP9,0.02234996
SP9,0.004551302
SP9,0.001661879
SP9,0.001285704
SP9,0.006961974
SP9,0.001077471
SP9,0.001952559
SP9,0.000750729
SP9,0.005055254
SP9,0.005035127
SP9,0.000292844
SP17,6.48E-06
SP17,0.000237215
SP17,7.10E-05
SP17,0.000170904
SP17,0.006077684
SP17,5.86E-05
SP17,0.004792135
SP17,0.000264933
SP17,4.52E-05
SP17,0.000686663
SP17,0.072568166
SP17,1.22E-05
SP17,3.64E-05
SP17,0.003985232
SP17,0.035445633
SP17,0
SP17,0.000368405
SP17,4.60E-05
SP17,1.67E-05
SP17,0.011746813
SP17,9.12E-06
SP17,9.06E-05
SP17,1.12E-05
SP17,0.008452509
SP17,0.001016227
SP17,0.003038132
SP17,0.001378866
SP17,7.09E-05
SP17,6.87E-05
SP17,0.000204797
SP17,0.00674138
SP17,0.00301093
SP17,0.003999461
SP17,8.13E-05
SP17,0
SP17,0.070901672
SP17,0.007213387
SP17,0.001534765
SP17,0.000306747
SP17,0.006783928
SP17,9.67E-05
SP17,0.009002589
SP17,0.00554698
SP17,4.11E-05
SP17,0.000189395
SP17,2.81E-05
SP17,2.40E-05
SP17,0.001179324
SP17,0.000245455
SP17,0.000382199
SP17,0.004300354
SP17,5.31E-05
SP17,0.005901091
SP17,0.012599362
SP17,0.074664563
SP17,0
SP17,0.004799857
SP17,0
SP17,5.59E-05
SP17,0.000469097
SP17,0.000262754
SP17,0.00043679
SP17,0.000119197
SP17,0.00282022
SP17,0.000124551
SP17,2.35E-05
SP17,0.030982549
SP17,0.000225535
SP17,0
SP17,0.006597304
SP17,0.053542311
SP17,0.008470749
SP17,0.000385434
SP17,0
SP17,7.12E-05
SP17,0.009286795
SP17,0.008504628
SP17,0.003567791
SP17,0.006435751
SP17,5.36E-05
SP17,7.32E-05
SP17,0.034759434
SP17,3.84E-05
SP17,0.008116373
SP17,0.000426356
SP17,0.002005951
SP17,0.001453397
SP17,0.034731192
SP8,0.017673285
SP8,0.012932983
SP8,0.002614893
SP8,0.011024963
SP8,0.0106064
SP8,0.006067255
SP8,0.044795143
SP8,0.002029255
SP8,0.040654254
SP8,0.002089713
SP8,0.001787271
SP8,0.000807754
SP8,0.039020806
SP8,0.014542325
SP8,0.018603865
SP8,0.000895031
SP8,0.083901257
SP8,0.01616491
SP8,0.003756165
SP8,0.001768882
SP8,0.007174637
SP8,0.008310715
SP8,0.005467554
SP8,0.03181801
SP8,0.000421172
SP8,0.00144597
SP8,0.000700541
SP8,0.005784953
SP8,0.036543713
SP8,0.104123192
SP8,0.006279317
SP8,0.002117431
SP8,0.005392168
SP8,0.033137591
SP8,0.008092714
SP8,0.034732112
SP8,0.001327318
SP8,0.028044661
SP8,0.047318078
SP8,0.021629322
SP8,0.002291858
SP8,0.01293078
SP8,0.037191325
SP8,0.00544877
SP8,0.007179908
SP8,0.015313537
SP8,0.033671787
SP8,0.018985862
SP8,0.002380802
SP8,0.019503477
SP8,0.01228471
SP8,0.007544571
SP8,0.003659989
SP8,0.087417162
SP8,0.008611101
SP8,0.022002102
SP8,0.01317219
SP8,0.015402761
SP8,0.012294288
SP8,0.006307212
SP8,0.003975156
SP8,0.010604637
SP8,0.008784057
SP8,0.016894904
SP8,0.065694405
SP8,0.055518649
SP8,0.003296466
SP8,0.001139775
SP8,0.02332317
SP8,0.001678285
SP8,0.023194252
SP8,0.029075856
SP8,0.006426272
SP8,0.045317548
SP8,0.00264518
SP8,0.044049009
SP8,0.007519269
SP8,0.022460743
SP8,0.007908233
SP8,0.003766563
SP8,0.001873249
SP8,0.00922551
SP8,0.041361627
SP8,0.013744895
SP8,0.002450287
SP8,0.051333068
SP8,0.008667906
SP8,0.002629647
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,1.22E-05
SP1,0
SP1,1.14E-05
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,9.89E-06
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,3.33E-06
SP1,0
SP1,2.98E-05
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0.000108267
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,8.83E-06
SP1,2.41E-06
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,0
SP1,9.81E-06
SP1,5.39E-06
SP21,0.012173797
SP21,0.00946652
SP21,0.002338977
SP21,0.02178402
SP21,0.014086126
SP21,0.004991935
SP21,0.020195713
SP21,0.000184044
SP21,0.016457083
SP21,0.001470796
SP21,0.001162755
SP21,0.001792764
SP21,0.020516933
SP21,0.002564449
SP21,0.002885667
SP21,0.008032244
SP21,0.020162936
SP21,0.004186242
SP21,0.025931948
SP21,0.001055672
SP21,0.000181881
SP21,0.000766983
SP21,0.008735438
SP21,0.001128379
SP21,0.004388396
SP21,0.015933913
SP21,0.000947173
SP21,0.001205278
SP21,0.012376557
SP21,4.10E-05
SP21,0.001604786
SP21,0.006179083
SP21,0.002679041
SP21,0.012693534
SP21,0.006229023
SP21,0.001030976
SP21,0.003234659
SP21,0.019314519
SP21,0.011638147
SP21,0.011852769
SP21,0.007305134
SP21,0.031425052
SP21,4.00E-05
SP21,7.58E-05
SP21,0.001010189
SP21,0.01860753
SP21,5.41E-05
SP21,0.022874677
SP21,0.001914349
SP21,0.002190125
SP21,0.008262563
SP21,0.004295033
SP21,0.002331774
SP21,1.57E-05
SP21,0.018120162
SP21,0.007203874
SP21,0.005399089
SP21,0.003689419
SP21,0.015652722
SP21,0.009372457
SP21,0.003808156
SP21,0.001513714
SP21,0.014604582
SP21,0.00043617
SP21,0.02784514
SP21,0.000965681
SP21,0.004479068
SP21,0.002802384
SP21,0.001738989
SP21,0.008386735
SP21,0.000126395
SP21,0.003184471
SP21,0.008652716
SP21,2.11E-05
SP21,0.004453084
SP21,0.008619604
SP21,0.019745019
SP21,0.010675418
SP21,0.001845788
SP21,0.012958285
SP21,0.002000895
SP21,0.00352373
SP21,0.006494935
SP21,0.031388748
SP21,0.005682326
SP21,9.39E-06
SP21,0.018666368
SP21,0.001562074
SP19,2.66E-05
SP19,3.19E-06
SP19,0.000510767
SP19,0
SP19,0.029743987
SP19,5.38E-06
SP19,0.001504446
SP19,0.013722404
SP19,0.000378867
SP19,0.013713424
SP19,0.003766149
SP19,2.45E-05
SP19,5.13E-05
SP19,0.011542574
SP19,0.011332009
SP19,0
SP19,2.96E-05
SP19,1.15E-05
SP19,6.88E-06
SP19,0
SP19,5.63E-06
SP19,0.042800252
SP19,0.010765752
SP19,8.94E-06
SP19,0
SP19,0.0013684
SP19,0.020969664
SP19,3.32E-05
SP19,0
SP19,7.63E-05
SP19,0.020238298
SP19,0.013835042
SP19,0.004728049
SP19,1.98E-05
SP19,8.35E-06
SP19,0
SP19,0.164007339
SP19,3.18E-06
SP19,1.11E-05
SP19,0.000462695
SP19,0.001609426
SP19,0.004251733
SP19,6.06E-05
SP19,0.000292218
SP19,0.01138646
SP19,1.06E-05
SP19,2.23E-05
SP19,0.003450614
SP19,0.005864181
SP19,0.004475242
SP19,0.000165076
SP19,0.000107535
SP19,8.41E-06
SP19,0.000125436
SP19,3.65E-05
SP19,1.48E-05
SP19,0.009798005
SP19,0.009598108
SP19,1.98E-05
SP19,0.008432819
SP19,0.000108674
SP19,0.00698794
SP19,0.005976487
