Group	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	SP13	SP14	SP15	SP16	SP17	SP18	SP19	SP20	SP21	SP22	SP23	SP24	SP25	SP26	SP27
Control	0	0	1.06E-05	0	0	0	0.01320669	0.012932983	0.005096172	0.000280748	0.024574304	0.023702435	0.009388104	0.017538992	3.48E-06	0.028495064	0.000237215	0.038771513	3.19E-06	3.53E-06	0.00946652	0.002222054	2.69E-06	3.64E-06	0.006490612	0.04381717	0.003810063
Control	0	0	0	0	0	0	0.012251518	0.002614893	0.002189268	0.000186945	0.032017034	5.29E-05	0.01018686	0.000776688	0.351125895	0.002186882	7.10E-05	0.011693398	0.000510767	0.001776096	0.002338977	0.002640976	1.32E-05	0.000936075	0.005502165	0	0.007059888
Control	0	0	5.29E-06	0	0.000106932	0	0	0.011024963	0.010094169	0.003161427	0.012294616	0.035281084	0.002499186	0.047546272	0.035555603	0.013205112	0.000170904	3.27E-05	0	0.001304837	0.02178402	0.015496872	0	0.007297737	0.002560978	0.00015634	0.006349649
Control	0	0	0	0	3.89E-05	0	0.001152401	0.00922551	0.006961974	0.00096756	0.066200577	0.115641222	0.025636793	0.061799296	1.98E-05	0.00472341	0.034759434	0.005582108	3.28E-06	0.011098919	0.00352373	0.000529919	7.41E-06	0.008551319	0.004447138	0.000838486	0.022131793
Control	0	0	5.47E-06	0	3.05E-06	0	1.14E-05	0.0106064	0.013688243	0.009032617	0.016231729	0.020908755	0.019163517	0.041848195	3.48E-05	0.009855695	0.006077684	0.013935476	0.029743987	0.006463272	0.014086126	0.003872018	3.25E-05	0.003939288	0.000376599	0.012465226	0.005920702
Control	0	0	1.36E-05	0	2.22E-06	0	0.010150829	0.006067255	0.001227291	5.11E-05	0.003430909	1.88E-05	0.000383606	0.001770698	0.045377182	0.002030006	5.86E-05	4.35E-05	5.38E-06	0.00038418	0.004991935	0.024544845	0.029120087	0.000390212	0.000164268	2.59E-05	0.003298686
Control	0	0	4.94E-05	0	9.85E-06	0	8.58E-06	0.044795143	0.005418447	0.000345383	0.074172515	0.019743692	0.032256398	0.025755839	3.99E-05	0.026657145	0.004792135	0.005622417	0.001504446	0.009100672	0.020195713	0.007576493	0.004225897	0.006800622	0.011804277	0.020231159	0.005162733
Control	0	0	1.74E-05	0	0	0	0	0.017673285	0.007617209	0.000463147	0.042819476	0.001805516	0.016060591	0.106082252	0.013035345	0.005268792	6.48E-06	0.00431311	2.66E-05	0.001527066	0.012173797	0.00910787	0	0.000119155	0.001055333	0.027022441	0.006751338
Control	0	0	1.06E-05	0	0	0	0	0.002029255	0.003964534	0.004868031	0.070775538	2.21E-05	0.008946587	2.38E-05	0.002385208	0.004590577	0.000264933	0.012014761	0.013722404	0.007265642	0.000184044	0.006811752	3.58E-06	0.006381104	0.004581929	0.002607714	0.013129009
Control	0	0	0	0	0.000341484	4.97E-05	0.010497554	0.040654254	0.013038457	0.000187051	0.053436438	1.82E-05	0.005040281	3.06E-05	8.75E-06	0.041790358	4.52E-05	0.006470227	0.000378867	0.013524439	0.016457083	0.022674663	7.46E-05	0.011617865	0.001075544	8.88E-05	0.037167006
